state_and_capital,geo_zone,date,average_price
Bayelsa,South South,2020-02-01,145.42857142857142
Bayelsa,South South,2020-03-01,145.36363636363637
Bayelsa,South South,2020-04-01,125.38461538461539
Bayelsa,South South,2020-05-01,125
Bayelsa,South South,2020-06-01,125
Bayelsa,South South,2020-07-01,143.25
Bayelsa,South South,2020-08-01,149
Bayelsa,South South,2020-09-01,161.46153846153845
Bayelsa,South South,2020-10-01,161
Bayelsa,South South,2020-11-01,169.77777777777777
Bayelsa,South South,2020-12-01,166.06666666666666
Bayelsa,South South,2021-01-01,165.54545454545453
Bayelsa,South South,2021-02-01,168.54545454545453
Bayelsa,South South,2021-03-01,183.42857142857142
Bayelsa,South South,2021-04-01,171.33333333333334
Bayelsa,South South,2021-05-01,175.461538461538
Bayelsa,South South,2021-06-01,165.307692307692
Bayelsa,South South,2021-07-01,166.69230769230768
Bayelsa,South South,2021-08-01,165.33333333333334
Bayelsa,South South,2021-09-01,162.666666666667
Bayelsa,South South,2021-10-01,164.66666666666666
Bayelsa,South South,2021-11-01,167.07142857142858
Bayelsa,South South,2021-12-01,165.46666666666667
Bayelsa,South South,2022-01-01,165.6
Bayelsa,South South,2022-02-01,167.72727272727272
Bayelsa,South South,2022-03-01,203.53333333333333
Bayelsa,South South,2022-04-01,168.5
Bayelsa,South South,2022-05-01,167.08333333333334
Bayelsa,South South,2022-06-01,168.28571428571428
Bayelsa,South South,2022-07-01,180
Bayelsa,South South,2022-08-01,178.88888888888889
Bayelsa,South South,2022-09-01,204.27
Bayelsa,South South,2022-10-01,205
Bayelsa,South South,2022-11-01,200
Bayelsa,South South,2022-12-01,196.142857142857
Bayelsa,South South,2023-01-01,305
Bayelsa,South South,2023-02-01,231.42857142857142
Bayelsa,South South,2023-03-01,296.5
Bayelsa,South South,2023-04-01,282.5
Bayelsa,South South,2023-05-01,250
Bayelsa,South South,2023-06-01,540.5
Benue,North Central,2019-01-01,150.090909090909
Benue,North Central,2019-02-01,146.090909090909
Benue,North Central,2019-03-01,144.75
Benue,North Central,2019-04-01,145.83333333333334
Benue,North Central,2019-05-01,143.6
Benue,North Central,2019-06-01,144
Benue,North Central,2019-07-01,145.166666666667
Benue,North Central,2019-08-01,145.16
Benue,North Central,2019-09-01,147.166666666667
Benue,North Central,2019-10-01,146.75
Benue,North Central,2019-11-01,144.16666666666666
Benue,North Central,2019-12-01,148.5
Benue,North Central,2020-01-01,146.14
Benue,North Central,2020-02-01,146.272727272727
Benue,North Central,2020-03-01,146.222222222222
Benue,North Central,2020-04-01,130.55555555555554
Benue,North Central,2020-05-01,128.357142857143
Benue,North Central,2020-06-01,129.525
Benue,North Central,2020-07-01,143
Benue,North Central,2020-08-01,150.375
Benue,North Central,2020-09-01,161.6475
Benue,North Central,2020-10-01,161.5
Benue,North Central,2020-11-01,167.353333333333
Benue,North Central,2020-12-01,165.22222222222223
Benue,North Central,2021-01-01,162.88888888888889
Benue,North Central,2021-02-01,163.28571428571428
Benue,North Central,2021-03-01,170.42857142857142
Benue,North Central,2021-04-01,166.71428571428572
Benue,North Central,2021-05-01,180.833333333333
Benue,North Central,2021-06-01,183.28571428571428
Benue,North Central,2021-07-01,164.5
Benue,North Central,2021-08-01,163.71428571428572
Benue,North Central,2021-09-01,166.214285714286
Benue,North Central,2021-10-01,169
Benue,North Central,2021-11-01,166.75
Benue,North Central,2021-12-01,165.2
Benue,North Central,2022-01-01,166.43
Benue,North Central,2022-02-01,165.35714285714286
Benue,North Central,2022-03-01,165.5
Benue,North Central,2022-04-01,168.33
Benue,North Central,2022-05-01,165.5
Benue,North Central,2022-06-01,165
Benue,North Central,2022-07-01,185.153846153846
Benue,North Central,2022-08-01,202.5
Benue,North Central,2022-09-01,200
Benue,North Central,2022-10-01,200.133333333333
Benue,North Central,2022-11-01,210.44
Benue,North Central,2022-12-01,209
Benue,North Central,2023-01-01,202.5
Benue,North Central,2023-02-01,200
Benue,North Central,2023-03-01,195
Benue,North Central,2023-04-01,198.125
Benue,North Central,2023-05-01,208.125
Benue,North Central,2023-06-01,540
Borno,North East,2019-01-01,145.625
Borno,North East,2019-02-01,145.888888888889
Borno,North East,2019-03-01,146.272727272727
Borno,North East,2019-04-01,146.818181818182
Borno,North East,2019-05-01,144.363636363636
Borno,North East,2019-06-01,145.181818181818
Borno,North East,2019-07-01,145.818181818182
Borno,North East,2019-08-01,146.5
